"delivery_date","hour_ending","settlement_point","qse_name","energy_only_offer_award_in_mw","settlement_point_price","offer_id","p_posted_date"
"2024-10-02","1","AEEC","QGRAN3","0.0","10.83","KJC9ejaKao","2024-12-01"
"2024-10-02","1","AEEC","QGRAN3","0.0","10.83","fvBW7zmVrc","2024-12-01"
"2024-10-02","1","AEEC","QGRIEQ","0.0","10.83","c7knxw","2024-12-01"
"2024-10-02","1","AEEC","QGRIEQ","3.4","10.83","ho0f8z","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","0.0","24.48","NTL01","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","0.0","24.48","NTL06","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","0.0","24.48","NTL07","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","0.0","24.48","NTL10","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","0.0","24.48","NTL11","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","1.0","24.48","NTL03","2024-12-01"
"2024-10-02","1","AJAXWIND_RN","QDARBY","4.0","21.48","T0001","2024-12-01"
"2024-10-02","1","AJAXWIND_RN","QORSTE","15.0","21.48","222892976","2024-12-01"
"2024-10-02","1","AJAXWIND_RN","QORSTE","20.0","21.48","222892969","2024-12-01"
"2024-10-02","1","AMADEUS_ALL","QTENSK","0.0","22.28","Amadeus_1","2024-12-01"
"2024-10-02","1","AMADEUS_ALL","QTENSK","0.0","22.28","Amadeus_2","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRIEQ","0.0","36.93","zv136j","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QQDTT","1.0","36.93","0023-YG-P_OP","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QAUROR","0.5","32.55","55dd3af0-c73","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRIEQ","0.0","32.55","c3o7re","2024-12-01"
"2024-10-02","1","ANCHOR_ALL","QDARBY","3.0","23.25","T0004","2024-12-01"
"2024-10-02","1","APPALOSA_ALL","QAUROR","8.1","58.76","55dd3af0-c73","2024-12-01"
"2024-10-02","1","APPALOSA_ALL","QFPLE4","10.2","58.76","APL01","2024-12-01"
"2024-10-02","1","AQUI_ALL","QAMTRA","2.0","23.23","100","2024-12-01"
"2024-10-02","1","AQUI_ALL","QDARBY","3.0","23.23","T0005","2024-12-01"
"2024-10-02","1","ASTRA_RN","QCORIO","0.0","15.81","122799","2024-12-01"
"2024-10-02","1","ASTRA_RN","QPEBSE","0.0","15.81","NTL01","2024-12-01"
"2024-10-02","1","ASTRA_RN","QPEBSE","0.0","15.81","NTL03","2024-12-01"
"2024-10-02","1","ASTRA_RN","QPEBSE","0.0","15.81","NTL08","2024-12-01"
"2024-10-02","1","ASTRA_RN","QPEBSE","0.0","15.81","NTL11","2024-12-01"
"2024-10-02","1","AVIAT_ALL","QTENSK","74.6","24.21","AvWindDAEO","2024-12-01"
"2024-10-02","1","BAIRDWND_ALL","QDARBY","2.0","23.07","T0008","2024-12-01"
"2024-10-02","1","BASTEN_CCU","QEDF34","315.0","25.97","ETBAY001","2024-12-01"
"2024-10-02","1","BATCAVE_RN","QAUROR","8.4","27.21","55dd3af0-c73","2024-12-01"
"2024-10-02","1","BATCAVE_RN","QMACQ","5.0","27.21","45","2024-12-01"
"2024-10-02","1","BCATWD_WD_1","QAUROR","8.4","22.02","55dd3af0-c73","2024-12-01"
"2024-10-02","1","BCATWD_WD_1","QCOMIT","1.3","22.02","222855059","2024-12-01"
"2024-10-02","1","BCATWD_WD_1","QGRIEQ","0.0","22.02","wrcjcq","2024-12-01"
"2024-10-02","1","BLSMT1_5_A_6","QCOMIT","1.0","20.45","222855060","2024-12-01"
"2024-10-02","1","BLSMT1_5_A_6","QFPLE4","51.4","20.45","BS01","2024-12-01"
"2024-10-02","1","BOARDCRK_ALL","QSUE50","0.0","23.79","LS45567","2024-12-01"
"2024-10-02","1","BORDAS_345","QFPLE4","6.6","26.71","JV201","2024-12-01"
"2024-10-02","1","BORDAS_345","QGAR1","2.0","26.71","005","2024-12-01"
"2024-10-02","1","BORDAS_345","QINCOM","3.8","26.71","HubsV5_1","2024-12-01"
"2024-10-02","1","BORDAS_345","QSTEC","25.0","26.71","100224","2024-12-01"
"2024-10-02","1","BRANDON_RN","QQDTT","1.0","62.11","0216-YG-P_OP","2024-12-01"
"2024-10-02","1","BRAZ_WND_ALL","QGRIEQ","0.0","22.79","vriwho","2024-12-01"
"2024-10-02","1","BRAZ_WND_ALL","QNABLA","1.4","22.79","t311892","2024-12-01"
"2024-10-02","1","BRAZ_WND_ALL","QQDTT","1.0","22.79","0255-YG-P_OP","2024-12-01"
"2024-10-02","1","BRISCOE_WIND","QGRIEQ","0.0","17.52","2e95m5","2024-12-01"
"2024-10-02","1","BRP_PBL1_RN","QQDTT","1.0","32.93","0292-YG-P_OP","2024-12-01"
"2024-10-02","1","BRP_PBL2_RN","QQDTT","1.0","32.93","0306-YG-P_OP","2024-12-01"
"2024-10-02","1","BRTSW_BCW1","QCOMIT","1.0","22.59","222855061","2024-12-01"
"2024-10-02","1","BRTSW_BCW1","QDARBY","1.0","22.59","T0011","2024-12-01"
"2024-10-02","1","BSS_U1","QQDTT","1.0","25.34","0348-YG-P_OP","2024-12-01"
"2024-10-02","1","BUCHAN_ALL","QAUROR","5.1","26.07","55dd3af0-c73","2024-12-01"
"2024-10-02","1","BUCHAN_ALL","QCOMIT","1.0","26.07","222855062","2024-12-01"
"2024-10-02","1","BUCHAN_ALL","QHEBER","0.0","26.07","kpjounjy1","2024-12-01"
"2024-10-02","1","BUFF_GAP_ALL","QCOMIT","1.0","22.36","222855063","2024-12-01"
"2024-10-02","1","BUFF_GAP_ALL","QGRIEQ","0.0","22.36","08orzd","2024-12-01"
"2024-10-02","1","BULLCRK_1_2","QCOMIT","1.0","32.19","222855064","2024-12-01"
"2024-10-02","1","BULLCRK_1_2","QQDTT","1.0","32.19","0370-YG-P_OP","2024-12-01"
"2024-10-02","1","BYU_PUN3","QQDTT","1.0","25.14","0405-YG-P_OP","2024-12-01"
"2024-10-02","1","CABEZON_ALL","QTENSK","43.2","26.67","RioBDAOpt","2024-12-01"
"2024-10-02","1","CAMWIND_RN","QGRIEQ","1.6","26.6","i34mt9","2024-12-01"
"2024-10-02","1","CAPRIDGE_ALL","QFPLE4","16.7","24.21","CAP02","2024-12-01"
"2024-10-02","1","CAPRIDGE_ALL","QFPLE4","17.4","24.21","CAP04","2024-12-01"
"2024-10-02","1","CAPRIDGE_ALL","QFPLE4","19.3","24.21","CAP03","2024-12-01"
"2024-10-02","1","CAPRIDGE_ALL","QFPLE4","27.8","24.21","CAP01","2024-12-01"
"2024-10-02","1","CARBN_BSP_1","QQDTT","1.0","29.3","0490-YG-P_OP","2024-12-01"
"2024-10-02","1","CATARINA_B1","QQDTT","1.0","30.08","0502-YG-P_OP","2024-12-01"
"2024-10-02","1","CBEC_ALL","QAUROR","0.5","25.39","55dd3af0-c73","2024-12-01"
"2024-10-02","1","CBY4_ALL","QNRGT4","230.0","25.08","42300364","2024-12-01"
"2024-10-02","1","CCEC_GT1","QCALP","25.0","26.52","000041","2024-12-01"
"2024-10-02","1","CEDROHI_CHW1","QQDTT","1.0","26.74","0530-YG-P_OP","2024-12-01"
"2024-10-02","1","CFLATS_UNIT","QSUE72","0.0","27.29","CF45567","2024-12-01"
"2024-10-02","1","CHALUP_ALL","QTENSK","1.1","26.6","APULAHC_DAM","2024-12-01"
"2024-10-02","1","CHE_PUN2","QQDTT","1.0","25.06","0582-YG-P_OP","2024-12-01"
"2024-10-02","1","CN_BRKS_UNT1","QCORIO","0.0","16.22","122800","2024-12-01"
"2024-10-02","1","CN_BRKS_UNT1","QDARBY","3.0","16.22","T0015","2024-12-01"
"2024-10-02","1","CN_BRKS_UNT1","QGRIEQ","0.0","16.22","69zp8o","2024-12-01"
"2024-10-02","1","CN_BRKS_UNT1","QTENSK","0.0","16.22","241002CB1EOO","2024-12-01"
"2024-10-02","1","CORAZON_RN","QQDTT","1.0","26.73","0600-YG-P_OP","2024-12-01"
"2024-10-02","1","COTPLNS_RN","QGRIEQ","0.0","17.21","rht5tu","2024-12-01"
"2024-10-02","1","CRANELL_ALL","QALGON","0.0","26.56","241002LICR3","2024-12-01"
"2024-10-02","1","CRANELL_ALL","QALGON","1.3","26.56","241002LICR2","2024-12-01"
"2024-10-02","1","CRANELL_ALL","QALGON","2.7","26.56","241002LICR1","2024-12-01"
"2024-10-02","1","CSC_CSECG1_2","QGRIEQ","0.0","22.69","pjnns7","2024-12-01"
"2024-10-02","1","CSC_CSECG1_2","QNABLA","1.4","22.69","t311889","2024-12-01"
"2024-10-02","1","CSC_CSECG1_2","QTRREN","1.9","22.69","222853121","2024-12-01"
"2024-10-02","1","CSC_CSECG1_2","QTRREN","1.9","22.69","222853122","2024-12-01"
"2024-10-02","1","CSC_CSECG1_2","QTRREN","1.9","22.69","222853123","2024-12-01"
"2024-10-02","1","CSC_CSECG1_2","QTRREN","1.9","22.69","222853124","2024-12-01"
"2024-10-02","1","CVC_CVC_G2","QEDE21","103.0","25.04","ESCVY002-J02","2024-12-01"
"2024-10-02","1","CVC_CVC_G3","QEDE21","65.0","25.04","ESCVY004-J04","2024-12-01"
