"delivery_date","hour_ending","settlement_point","qse_name","energy_only_offer_mw1","energy_only_offer_price1","energy_only_offer_mw2","energy_only_offer_price2","energy_only_offer_mw3","energy_only_offer_price3","energy_only_offer_mw4","energy_only_offer_price4","energy_only_offer_mw5","energy_only_offer_price5","energy_only_offer_mw6","energy_only_offer_price6","energy_only_offer_mw7","energy_only_offer_price7","energy_only_offer_mw8","energy_only_offer_price8","energy_only_offer_mw9","energy_only_offer_price9","energy_only_offer_mw10","energy_only_offer_price10","energy_only_offer_id","multi_hour_block_indicator","block/curve_indicator","p_posted_date"
"2024-10-02","1","AEEC","QGRAN3","10.2","38.5",,,,,,,,,,,,,,,,,,,"fvBW7zmVrc","N","V","2024-12-01"
"2024-10-02","1","AEEC","QGRAN3","13.3","47.55",,,,,,,,,,,,,,,,,,,"KJC9ejaKao","N","V","2024-12-01"
"2024-10-02","1","AEEC","QGRIEQ","25.0","18.16",,,,,,,,,,,,,,,,,,,"c7knxw","N","C","2024-12-01"
"2024-10-02","1","AEEC","QGRIEQ","3.4","-13.73",,,,,,,,,,,,,,,,,,,"ho0f8z","N","C","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","1.0","23.1",,,,,,,,,,,,,,,,,,,"NTL03","N","V","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","1.0","31.3",,,,,,,,,,,,,,,,,,,"NTL01","N","V","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","2.0","26.2",,,,,,,,,,,,,,,,,,,"NTL06","N","V","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","2.0","27.8",,,,,,,,,,,,,,,,,,,"NTL07","N","V","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","2.5","29.36",,,,,,,,,,,,,,,,,,,"NTL10","N","V","2024-12-01"
"2024-10-02","1","AGUAYO_UNIT1","QPEBSE","2.5","32.68",,,,,,,,,,,,,,,,,,,"NTL11","N","V","2024-12-01"
"2024-10-02","1","AJAXWIND_RN","QDARBY","4.0","5.0",,,,,,,,,,,,,,,,,,,"T0001","N","V","2024-12-01"
"2024-10-02","1","AJAXWIND_RN","QORSTE","15.0","18.55",,,,,,,,,,,,,,,,,,,"222892976","N","V","2024-12-01"
"2024-10-02","1","AJAXWIND_RN","QORSTE","20.0","15.05",,,,,,,,,,,,,,,,,,,"222892969","N","V","2024-12-01"
"2024-10-02","1","AMADEUS_ALL","QTENSK","12.8","25.44",,,,,,,,,,,,,,,,,,,"Amadeus_1","N","V","2024-12-01"
"2024-10-02","1","AMADEUS_ALL","QTENSK","12.8","26.68",,,,,,,,,,,,,,,,,,,"Amadeus_2","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRIEQ","5.2","51.93",,,,,,,,,,,,,,,,,,,"zv136j","N","C","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QQDTT","1.0","19.66","1.0","21.63","1.0","23.6",,,,,,,,,,,,,,,"0023-YG-P_OP","N","C","2024-12-01"
