"delivery_date","hour_ending","qse","dme","generation_resource_name","multi_hour_block_flag","block_indicator1","price1_rrspfr","price1_rrsffr","price1_rrsufr","price1_ecrs","price1_offec","price1_online_nonspin","price1_regup","price1_regdown","price1_offline_nonspin","quantity_mw1","block_indicator2","price2_rrspfr","price2_rrsffr","price2_rrsufr","price2_ecrs","price2_offec","price2_online_nonspin","price2_regup","price2_regdown","price2_offline_nonspin","quantity_mw2","block_indicator3","price3_rrspfr","price3_rrsffr","price3_rrsufr","price3_ecrs","price3_offec","price3_online_nonspin","price3_regup","price3_regdown","price3_offline_nonspin","quantity_mw3","block_indicator4","price4_rrspfr","price4_rrsffr","price4_rrsufr","price4_ecrs","price4_offec","price4_online_nonspin","price4_regup","price4_regdown","price4_offline_nonspin","quantity_mw4","block_indicator5","price5_rrspfr","price5_rrsffr","price5_rrsufr","price5_ecrs","price5_offec","price5_online_nonspin","price5_regup","price5_regdown","price5_offline_nonspin","quantity_mw5","p_posted_date"
"2024-10-02","1","QSUE74","YSUEZ","ALVIN_UNIT1","N","V",,,,,,,,"0.79",,"1.5","V",,,,,,,,"2.29",,"1.5","V",,,,,,,,"3.23",,"1.5",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","ALVIN_UNIT1","N","V","0.49",,,"0.49",,,,,,"1.9","V","0.79",,,,,,"1.59",,,"1.5","V","1.29",,,,,,"2.29",,,"1.5","V","1.98",,,,,,"3.23",,,"1.1","V","4.98",,,"4.98",,,"4.98",,,"1.5","2024-12-01"
"2024-10-02","1","QENE11","YENELT","ANCHOR_BESS1","N","V","0.49",,,,,,,,,"9.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QENE11","YENELT","ANCHOR_BESS2","N","V","0.49",,,,,,,,,"7.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE53","YPLUSP","ANEM_ESS_BESS1","N","V","0.25",,,"0.25",,,"5000.0",,,"78.0","V","0.75",,,"0.75",,,"5000.0",,,"39.0","V","1.0",,,"1.0",,,"5000.0",,,"29.2","V","0.5",,,"0.5",,,"5000.0",,,"48.8",,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","ANGLETON_UNIT1","N","V",,"0.0",,,,,,,,"9.9","V","0.79","0.79",,"0.79",,,"1.59",,,"2.5","V","1.29","1.29",,,,,"2.29",,,"2.0","V","1.98","1.98",,,,,"3.23",,,"2.0","V","4.98","4.88",,"4.98",,,"4.98",,,"2.0","2024-12-01"
"2024-10-02","1","QSUE74","YSUEZ","ANGLETON_UNIT1","N","V",,,,,,,,"0.79",,"2.0","V",,,,,,,,"2.29",,"2.0","V",,,,,,,,"3.23",,"2.0",,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QBTU","YBRYN","ATKINS_ATKINSG7","N","V",,,,,,"500.0",,,,"12.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLCRA","YLCRA","AUSTPL_AUSTING1","N","V","0.81",,,,,,,,,"8.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
"2024-10-02","1","QLCRA","YLCRA","AUSTPL_AUSTING2","N","V","0.81",,,,,,,,,"8.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-12-01"
