"delivery_date","hour_ending","qse","total_self_arranged_as_regup","total_self_arranged_as_regdown","total_self_arranged_as_nonspin","total_self_arranged_as_nspnm","total_self_arranged_as_rrspfr","total_self_arranged_as_rrsffr","total_self_arranged_as_rrsufr","total_self_arranged_as_ecrssd","total_self_arranged_as_ecrsmd","p_posted_date"
"2024-10-02","1","QAEN","0.0","10.0","98.0",,"20.0","0.0","0.0","0.0","0.0","2024-12-01"
"2024-10-02","1","QALTRE",,,"26.0",,"15.0","0.0","8.8",,,"2024-12-01"
"2024-10-02","1","QBPEC7","-0.7","-1.4","-6.9",,"-11.2","0.0","0.0","-4.4",,"2024-12-01"
"2024-10-02","1","QBTU",,,,,"0.0","0.0","7.0",,,"2024-12-01"
"2024-10-02","1","QCALP","0.0","0.0","-20.0","0.0","-15.0","0.0","0.0","0.0","0.0","2024-12-01"
"2024-10-02","1","QCPSE","0.0","0.0","85.0",,"25.0","0.0","0.0","25.0",,"2024-12-01"
"2024-10-02","1","QEDE10",,,,,"0.0","0.0","32.3",,,"2024-12-01"
"2024-10-02","1","QEDE12",,,,,"0.0","0.0","11.4",,,"2024-12-01"
"2024-10-02","1","QEDES1",,,,,"0.0","0.0","61.7",,,"2024-12-01"
"2024-10-02","1","QEDES2",,,,,"0.0","0.0","5.1",,,"2024-12-01"
"2024-10-02","1","QEDES5",,,,,"0.0","0.0","19.6",,,"2024-12-01"
"2024-10-02","1","QEDES6",,,,,"0.0","0.0","6.1",,,"2024-12-01"
"2024-10-02","1","QEDES8",,,,,"0.0","0.0","10.2",,,"2024-12-01"
"2024-10-02","1","QEXEL1",,,,,"0.0","0.0","0.0",,,"2024-12-01"
"2024-10-02","1","QFREE1",,,,,"0.0","0.0","3.0",,,"2024-12-01"
"2024-10-02","1","QFRONT",,,,,"0.0","0.0","5.9",,,"2024-12-01"
"2024-10-02","1","QGAR6",,,,,"0.0","0.0","7.0",,,"2024-12-01"
"2024-10-02","1","QGERD",,,,,"0.0","0.0","4.2",,,"2024-12-01"
"2024-10-02","1","QGEXA",,,,,"0.0","0.0","23.8",,,"2024-12-01"
"2024-10-02","1","QGEXA7",,,,,"0.0","0.0","4.0",,,"2024-12-01"
"2024-10-02","1","QJUSL1",,,"3.0",,"10.0","0.0","0.0","10.0",,"2024-12-01"
"2024-10-02","1","QJUSL2",,,"4.0",,"10.0","0.0","0.0","15.0",,"2024-12-01"
"2024-10-02","1","QJUSL3",,,"3.0",,"10.0","0.0","0.0","10.0",,"2024-12-01"
"2024-10-02","1","QLCRA","0.0","0.0","0.0",,"-20.0","0.0","17.0","0.0","0.0","2024-12-01"
"2024-10-02","1","QNRGTX",,,,,"0.0","0.0","180.0",,,"2024-12-01"
"2024-10-02","1","QOCSQ1",,,,,"0.0","0.0","6.9",,,"2024-12-01"
"2024-10-02","1","QSEMES",,,"22.0",,"5.0","0.0","0.0",,,"2024-12-01"
"2024-10-02","1","QSHEL9","0.0","0.0","8.0","0.0","8.0","0.0","0.0","0.0","0.0","2024-12-01"
"2024-10-02","1","QSHELL","0.0","0.0","-61.0","0.0","-53.0","0.0","0.0","-35.0","0.0","2024-12-01"
"2024-10-02","1","QSTEC","0.0","0.0","0.0",,"0.0","0.0","23.7",,,"2024-12-01"
"2024-10-02","1","QSTEC1",,,"0.0",,"0.0","0.0","3.0",,,"2024-12-01"
"2024-10-02","1","QSUEZ1",,,"5.0","0.0","10.0","0.0","0.0",,,"2024-12-01"
"2024-10-02","1","QTEN18","1.0","2.0","10.1",,"16.4","0.0","0.0","6.4","0.0","2024-12-01"
"2024-10-02","1","QTENSK",,,,,"0.0","0.0","14.5",,,"2024-12-01"
"2024-10-02","1","QTOTL1","-0.3","-0.6","-3.2",,"-5.2","0.0","0.0","-2.0",,"2024-12-01"
"2024-10-02","2","QAEN","0.0","10.0","98.0",,"20.0","0.0","0.0","0.0","0.0","2024-12-01"
"2024-10-02","2","QALTRE",,,"26.0",,"15.0","0.0","8.8",,,"2024-12-01"
"2024-10-02","2","QBPEC7","-0.7","-1.3","-7.2",,"-11.8","0.0","0.0","-4.4",,"2024-12-01"
"2024-10-02","2","QBTU",,,,,"0.0","0.0","7.0",,,"2024-12-01"
"2024-10-02","2","QCALP","0.0","0.0","-20.0","0.0","-15.0","0.0","0.0","0.0","0.0","2024-12-01"
